feo_cohort,segment,enrol_status,click_cohort,imp_source,unified_Lender,enrols,impression_count,click_count,payout,conversion_count
2026-03-30,NS2 & all CS,Enrolled,1. W1,,Debt Advisor,388,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,others,388,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,OppLoans,388,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,5KFunds,388,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,Lending For Bad Credit,388,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,Debt Advisor,210,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,Lending For Bad Credit,210,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,5KFunds,210,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,Instacash,210,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,OppLoans,210,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,others,210,0,0,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,,Instacash,13286,0,0,15.0,1
2026-03-23,NS2 & all CS,Enrolled,1. W1,,OppLoans,13286,0,0,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,,Lending For Bad Credit,13286,0,0,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,,5KFunds,13286,0,0,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,,others,13286,0,0,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,,NetCredit,13286,0,0,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,,Debt Advisor,13286,0,0,,0
2026-03-23,NS1/3 & all CS,Enrolled,1. W1,,Debt Advisor,7308,0,0,,0
2026-03-23,NS1/3 & all CS,Enrolled,1. W1,,Lending For Bad Credit,7308,0,0,,0
2026-03-23,NS1/3 & all CS,Enrolled,1. W1,,NetCredit,7308,0,0,,0
2026-03-23,NS1/3 & all CS,Enrolled,1. W1,,5KFunds,7308,0,0,,0
2026-03-23,NS1/3 & all CS,Enrolled,1. W1,,Instacash,7308,0,0,,0
2026-03-23,NS1/3 & all CS,Enrolled,1. W1,,others,7308,0,0,195.75,1
2026-03-23,NS1/3 & all CS,Enrolled,1. W1,7. LOAN_AGENT,others,7308,1,1,,0
2026-03-23,NS1/3 & all CS,Enrolled,1. W1,,OppLoans,7308,0,0,,0
2026-03-16,NS2 & all CS,Enrolled,1. W1,,5KFunds,12014,0,0,,0
2026-03-16,NS2 & all CS,Enrolled,1. W1,,NetCredit,12014,0,0,,0
2026-03-16,NS2 & all CS,Enrolled,1. W1,,Instacash,12014,0,0,,0
2026-03-16,NS2 & all CS,Enrolled,1. W1,,others,12014,0,0,,0
2026-03-16,NS2 & all CS,Enrolled,1. W1,7. LOAN_AGENT,others,12014,2,1,6.8175,1
2026-03-16,NS2 & all CS,Enrolled,1. W1,,Debt Advisor,12014,0,0,,0
2026-03-16,NS2 & all CS,Enrolled,1. W1,,Lending For Bad Credit,12014,0,0,,0
2026-03-16,NS2 & all CS,Enrolled,1. W1,,OppLoans,12014,0,0,,0
2026-03-16,NS1/3 & all CS,Enrolled,1. W1,,Instacash,6692,0,0,15.0,1
2026-03-16,NS1/3 & all CS,Enrolled,1. W1,,others,6692,0,0,240.735,2
2026-03-16,NS1/3 & all CS,Enrolled,1. W1,,Lending For Bad Credit,6692,0,0,30.0,2
2026-03-16,NS1/3 & all CS,Enrolled,1. W1,,NetCredit,6692,0,0,,0
2026-03-16,NS1/3 & all CS,Enrolled,1. W1,,Debt Advisor,6692,0,0,,0
2026-03-16,NS1/3 & all CS,Enrolled,1. W1,,5KFunds,6692,0,0,,0
2026-03-16,NS1/3 & all CS,Enrolled,1. W1,,OppLoans,6692,0,0,165.0,1
2026-03-09,NS2 & all CS,Enrolled,1. W1,7. LOAN_AGENT,others,10687,2,1,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,,others,10687,0,0,327.16200000000003,2
2026-03-09,NS2 & all CS,Enrolled,1. W1,,Debt Advisor,10687,0,0,,0
2026-03-09,NS2 & all CS,Not Enrolled,1. W1,,NetCredit,10687,0,0,,0
2026-03-09,NS2 & all CS,Not Enrolled,1. W1,,5KFunds,10687,0,0,,0
2026-03-09,NS2 & all CS,Not Enrolled,1. W1,,Instacash,10687,0,0,,0
2026-03-09,NS2 & all CS,Not Enrolled,1. W1,,others,10687,0,0,165.0,1
2026-03-09,NS2 & all CS,Enrolled,1. W1,,5KFunds,10687,0,0,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,,Lending For Bad Credit,10687,0,0,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,,NetCredit,10687,0,0,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,,OppLoans,10687,0,0,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,,Instacash,10687,0,0,,0
2026-03-09,NS2 & all CS,Not Enrolled,1. W1,,OppLoans,10687,0,0,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,Lending For Bad Credit,10687,9,1,0.43875,1
2026-03-09,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,others,10687,3244,704,881.6860500000001,113
2026-03-09,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,OppLoans,10687,505,250,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,Debt Advisor,10687,24,1,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,Instacash,10687,54,3,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,5KFunds,10687,2184,470,422.96175000000005,359
2026-03-09,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,NetCredit,10687,74,34,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,others,10687,433,42,58.248,7
2026-03-09,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,Instacash,10687,47,3,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,5KFunds,10687,52,2,1.03275,1
2026-03-09,NS2 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,Debt Advisor,10687,1,0,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,5KFunds,10687,500,180,198.13274999999993,167
2026-03-09,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,NetCredit,10687,25,16,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,Instacash,10687,15,2,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,OppLoans,10687,113,60,165.0,1
2026-03-09,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,others,10687,726,184,383.92458,58
2026-03-09,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,Lending For Bad Credit,10687,4,2,3.3345000000000002,2
2026-03-09,NS2 & all CS,Enrolled,1. W1,4. DASHBOARD,Debt Advisor,10687,2,1,4.6875,1
2026-03-09,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,NetCredit,10687,37,6,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,OppLoans,10687,258,43,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Debt Advisor,10687,1,0,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Instacash,10687,7,2,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,others,10687,398,101,90.3945,18
2026-03-09,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,5KFunds,10687,216,84,78.786,65
2026-03-09,NS2 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,5KFunds,10687,13,8,8.60625,6
2026-03-09,NS2 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,OppLoans,10687,2,2,,0
2026-03-09,NS2 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,others,10687,16,5,0.945,1
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,,OppLoans,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,,NetCredit,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,,Instacash,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Not Enrolled,1. W1,,Instacash,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Not Enrolled,1. W1,,5KFunds,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,,5KFunds,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Not Enrolled,1. W1,,OppLoans,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,,Debt Advisor,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,,others,6048,0,0,644.25,3
2026-03-09,NS1/3 & all CS,Not Enrolled,1. W1,,others,6048,0,0,191.862,2
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,,Lending For Bad Credit,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Not Enrolled,1. W1,,NetCredit,6048,0,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,7. LOAN_AGENT,OppLoans,6048,1,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,7. LOAN_AGENT,others,6048,2,1,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,5KFunds,6048,9,8,7.4115,6
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,OppLoans,6048,2,2,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,6. AI_ASSISTANT,others,6048,10,3,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Debt Advisor,6048,2,1,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,NetCredit,6048,43,10,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,OppLoans,6048,197,31,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,5KFunds,6048,122,38,54.432000000000016,33
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,others,6048,262,59,268.26899999999995,12
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Lending For Bad Credit,6048,2,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Instacash,6048,6,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,Debt Advisor,6048,4,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,OppLoans,6048,65,27,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,5KFunds,6048,298,89,87.81074999999997,78
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,others,6048,409,102,232.47525,25
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,Lending For Bad Credit,6048,1,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,Instacash,6048,7,1,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,4. DASHBOARD,NetCredit,6048,16,8,181.8432,1
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,Debt Advisor,6048,2,0,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,5KFunds,6048,55,8,10.26675,7
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,others,6048,347,17,8.8425,2
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,Instacash,6048,31,1,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,NetCredit,6048,65,17,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,OppLoans,6048,318,109,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,Debt Advisor,6048,22,1,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,others,6048,1649,256,660.0962910000004,46
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,Instacash,6048,37,3,,0
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,5KFunds,6048,1129,181,144.12599999999995,118
2026-03-09,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,Lending For Bad Credit,6048,5,0,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,1. FUNNEL,Lending For Bad Credit,9251,2,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,Instacash,9251,124,18,3.375,2
2026-03-02,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,Debt Advisor,9251,41,1,1.4625,1
2026-03-02,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,OppLoans,9251,929,455,330.0,2
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,others,9251,84,23,14.04,3
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,NetCredit,9251,3,2,,0
2026-03-02,NS2 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,5KFunds,9251,56,14,16.341749999999998,12
2026-03-02,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,NetCredit,9251,74,11,181.8432,1
2026-03-02,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Lending For Bad Credit,9251,1,1,0.4117499999999999,1
2026-03-02,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,5KFunds,9251,438,131,132.8265,113
2026-03-02,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Instacash,9251,14,3,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,others,9251,796,193,250.07016,34
2026-03-02,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,Debt Advisor,9251,2,0,,0
2026-03-02,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,OppLoans,9251,540,94,330.0,2
