feo_cohort,segment,enrol_status,click_cohort,imp_source,unified_Lender,enrols,impression_count,click_count,payout,conversion_count
2026-03-30,NS2 & all CS,Enrolled,1. W1,,Instacash,2871,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,Lending For Bad Credit,2871,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,NetCredit,2871,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,5KFunds,2871,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,OppLoans,2871,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,Debt Advisor,2871,0,0,,0
2026-03-30,NS2 & all CS,Enrolled,1. W1,,others,2871,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,5KFunds,1553,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,NetCredit,1553,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,Debt Advisor,1553,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,others,1553,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,OppLoans,1553,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,Instacash,1553,0,0,,0
2026-03-30,NS1/3 & all CS,Enrolled,1. W1,,Lending For Bad Credit,1553,0,0,15.0,1
2026-03-23,NS2 & all CS,Not Enrolled,1. W1,,NetCredit,13286,0,0,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,,NetCredit,13286,0,0,,0
2026-03-23,NS2 & all CS,Not Enrolled,1. W1,,5KFunds,13286,0,0,,0
2026-03-23,NS2 & all CS,Not Enrolled,1. W1,,others,13286,0,0,407.445,3
2026-03-23,NS2 & all CS,Enrolled,1. W1,,Debt Advisor,13286,0,0,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,Instacash,13286,2,2,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,NetCredit,13286,93,36,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,Debt Advisor,13286,25,2,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,OppLoans,13286,631,326,,0
2026-03-23,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,5KFunds,13286,3338,722,612.5760000000001,550
2026-03-23,NS2 & all CS,Enrolled,1. W1,1. FUNNEL,others,13286,4928,1154,1269.7527000000005,209
