feo_cohort,segment,enrol_status,click_cohort,imp_source,product_name,enrols,impression_count,click_count,payout,conversion_count
2025-12-01,NS2 & all CS,Enrolled,4. Longtail,3. FUNNEL_THREE,current,12878,2,1,,0
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,4. DASHBOARD,personal_loans,12878,628,69,73.07337000000001,23
2025-12-01,NS2 & all CS,Enrolled,3. M3,2. FUNNEL_TWO,engine_credit_card,12878,13,1,,0
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,3. FUNNEL_THREE,current,12878,97,35,,0
2025-12-01,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,free_cash,12878,2725,98,70.0,10
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,my_lending_wallet,12878,79,1,,0
2025-12-01,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,lending_for_bad_credit,12878,333,5,1.7550000000000001,2
2025-12-01,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,amone_kovo_card,12878,2,0,,0
2025-12-01,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,cash_advance,12878,6395,954,969.0,34
2025-12-01,NS2 & all CS,Enrolled,1. W1,3. FUNNEL_THREE,brigit,12878,5877,4401,520.0,26
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,credit_card_omf,12878,11,11,,0
2025-12-01,NS2 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,amone_step_card,12878,2,0,,0
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,kashkick,12878,2771,45,10.0,2
2025-12-01,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,engine_credit_card,12878,408,10,,0
2025-12-01,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,cash_advance,12878,106,6,,0
2025-12-01,NS2 & all CS,Enrolled,1. W1,7. AI_ASSISTANT,personal_loans,12878,84,83,44.61773939999999,30
2025-12-01,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,current,12878,2725,327,177.25499999999997,26
2025-12-01,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,5kfunds,12878,333,0,,0
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,2. FUNNEL_TWO,amone_step_card,12878,2,0,,0
2025-12-01,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,personal_loans,12878,12,11,10.86189,5
2025-12-01,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,debt_relief,12878,2725,13,,0
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,9. COMMS,debt_relief,12878,2,2,,0
2025-12-01,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,kashkick,12878,2,1,,0
2025-12-01,NS2 & all CS,Enrolled,1. W1,9. COMMS,personal_loans,12878,1207,1207,531.0691147500002,237
2025-12-01,NS2 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,free_cash,12878,106,93,126.0,18
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,free_cash,12878,98,91,112.0,16
2025-12-01,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,current,12878,106,8,13.635,2
2025-12-01,NS2 & all CS,Enrolled,4. Longtail,2. FUNNEL_TWO,current,12878,4,2,,0
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,free_cash,12878,2771,110,91.0,13
2025-12-01,NS2 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,5kfunds,12878,79,0,,0
2025-12-01,NS2 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,brigit,12878,106,18,20.0,1
2025-12-01,NS2 & all CS,Enrolled,3. M3,9. COMMS,personal_loans,12878,6,6,1.64025,1
2025-09-22,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,kashkick,5883,640,11,50.0,4
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,debt_relief,5883,1158,8,72.99455624999999,1
2025-09-22,NS1/3 & all CS,Enrolled,1. W1,3. FUNNEL_THREE,brigit,5883,315,203,,0
2025-09-22,NS1/3 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,free_cash,5883,29,27,42.0,6
2025-09-22,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,personal_loans,5883,172,18,220.72785000000002,3
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,personal_loans,5883,160,15,2.286585,2
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,personal_loans,5883,14,14,226.569105,10
2025-09-22,NS1/3 & all CS,Enrolled,2. W2-W4,5. DISCOVER_TAB_V2,kashkick,5883,1460,24,,0
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,1. FUNNEL,super_money,5883,2,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,2. W2-W4,7. AI_ASSISTANT,personal_loans,5883,6,6,168.42841499999997,3
2025-09-22,NS1/3 & all CS,Enrolled,4. Longtail,7. AI_ASSISTANT,free_cash,5883,8,8,14.0,2
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,my_lending_wallet,5883,9,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,1. W1,2. FUNNEL_TWO,current,5883,5353,2616,784.0124999999996,115
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,9. COMMS,personal_loans,5883,2,2,,0
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,1. FUNNEL,kashkick,5883,37,9,,0
2025-09-22,NS1/3 & all CS,Enrolled,4. Longtail,7. AI_ASSISTANT,personal_loans,5883,4,4,4.226984999999999,3
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,1. FUNNEL,free_cash,5883,2,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,4. Longtail,1. FUNNEL,kashkick,5883,10,1,,0
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,amone_step_card,5883,13,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,5kfunds,5883,76,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,my_lending_wallet,5883,76,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,1. W1,5. DISCOVER_TAB_V2,brigit,5883,3748,614,360.0,18
2025-09-22,NS1/3 & all CS,Enrolled,4. Longtail,5. DISCOVER_TAB_V2,brigit,5883,640,98,40.0,2
2025-09-22,NS1/3 & all CS,Enrolled,1. W1,9. COMMS,kashkick,5883,53,53,,0
2025-09-22,NS1/3 & all CS,Enrolled,4. Longtail,3. FUNNEL_THREE,brigit,5883,2,2,,0
2025-09-22,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,brigit,5883,1,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,brigit,5883,1158,253,180.0,9
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,7. AI_ASSISTANT,current,5883,598,561,320.42249999999984,47
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,2. FUNNEL_TWO,current,5883,196,98,47.722500000000004,7
2025-09-22,NS1/3 & all CS,Enrolled,1. W1,7. AI_ASSISTANT,free_cash,5883,54,50,63.0,9
2025-09-22,NS1/3 & all CS,Enrolled,2. W2-W4,1. FUNNEL,debt_relief,5883,2,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,1. W1,1. FUNNEL,brigit,5883,4,3,,0
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,5kfunds,5883,9,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,kashkick,5883,1158,25,,0
2025-09-22,NS1/3 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,super_money,5883,1,0,,0
2025-09-22,NS1/3 & all CS,Enrolled,1. W1,9. COMMS,personal_loans,5883,402,402,258.851055,68
2025-07-14,NS2 & all CS,Enrolled,3. M3,5. DISCOVER_TAB_V2,cash_advance,13902,2283,411,285.0,10
2025-06-30,NS1/3 & all CS,Enrolled,4. Longtail,7. AI_ASSISTANT,personal_loans,5960,24,24,188.33569500000007,27
